ID,Cluster_Assignment,Latitude,Longitude
Pr_2089,6,59.4458,94.0734
Pr_2090,6,59.4458,94.0734
Pr_2101,6,62.020864,129.602059
Pr_2102,6,62.020864,129.602059
Pr_2103,6,62.020864,129.602059
Pr_2104,6,62.020864,129.602059
Pr_2105,6,62.020864,129.602059
Pr_2106,6,62.020864,129.602059
Pr_2107,6,62.020864,129.602059
Pr_2108,6,62.020864,129.602059
Pr_2109,6,62.020864,129.602059
Pr_2110,6,62.020864,129.602059
Pr_992,6,62.033333,129.333333
Pr_993,6,62.033333,129.333333
Pr_2026,7,35.3,23.7
Pr_2027,7,35.31,23.81
Pr_919,7,42.000025,45.571631
Pr_922,7,42.000025,45.571631
Pr_923,7,42.000025,45.571631
Pr_926,7,41.604061,41.586539
Pr_927,7,41.604061,41.586539
Pr_928,7,41.604061,41.586539
Pr_929,7,41.604061,41.586539
Pr_930,7,41.604061,41.586539
Pr_931,7,41.604061,41.586539
Pr_936,7,42.275444,41.679339
Pr_938,7,42.275444,41.679339
Pr_939,7,42.275444,41.679339
Pr_940,7,42.275444,41.679339
Pr_941,7,42.275444,41.679339
Pr_942,7,42.275444,41.679339
Pr_1949,7,27.938591,108.615073
Pr_1950,7,27.938591,108.615073
Pr_1951,7,27.938591,108.615073
Pr_1952,7,27.938591,108.615073
Pr_1953,7,27.938591,108.615073
Pr_1954,7,27.938591,108.615073
Pr_1955,7,31.493765,98.218198
Pr_1956,7,31.493765,98.218198
Pr_1957,7,31.493765,98.218198
Pr_1958,7,31.493765,98.218198
Pr_1959,7,31.493765,98.218198
Pr_1960,7,31.493765,98.218198
Pr_1961,7,31.493765,98.218198
Pr_1963,7,31.493765,98.218198
Pr_1964,7,31.493765,98.218198
Pr_1965,7,31.493765,98.218198
Pr_1966,7,31.493765,98.218198
Pr_1967,7,43.820784,127.414457
Pr_2007,7,31.14,104.4
Pr_2008,7,36.76,118
Pr_2111,7,36.447821,126.880218
Pr_2112,7,36.447821,126.880218
Pr_2117,7,37.167431,127.063413
Pr_2123,7,37.423501,126.421513
Pr_1163,7,24.964283,121.447049
Pr_1164,7,24.964283,121.447049
Pr_1166,7,24.964283,121.447049
Pr_1171,7,24.964283,121.447049
Pr_1173,7,24.964283,121.447049
Pr_1175,7,24.964283,121.447049
Pr_1176,7,24.964283,121.447049
Pr_1179,7,25.016959,121.533851
Pr_1180,7,25.016959,121.533851
Pr_1181,7,25.016959,121.533851
Pr_1184,7,25.016959,121.533851
Pr_2010,7,36.26,137.97
Pr_2011,7,37.97,139.33
Pr_2012,7,37.97,139.33
Pr_887,7,36.137822,140.119613
Pr_888,7,36.137822,140.119613
Pr_891,7,36.137822,140.119613
Pr_893,7,36.137822,140.119613
Pr_894,7,36.137822,140.119613
Pr_1376,2,47.887867,14.551708
Pr_1935,2,41.611,25.654
Pr_954,2,49.5,17
Pr_959,2,49.5,17
Pr_960,2,49.5,17
Pr_965,2,49.5,17
Pr_976,2,49.5,17
Pr_977,2,49.5,17
Pr_982,2,49.5,17
Pr_985,2,49.5,17
Pr_1880,2,52.01358,0.246583
Pr_1883,2,52.01358,0.246583
Pr_1884,2,52.01358,0.246583
Pr_1885,2,52.01358,0.246583
Pr_1886,2,52.01358,0.246583
Pr_1887,2,52.01358,0.246583
Pr_1888,2,52.01358,0.246583
Pr_1890,2,52.01358,0.246583
Pr_1891,2,52.01358,0.246583
Pr_1892,2,52.01358,0.246583
Pr_1970,2,51.75,-1.18
Pr_1971,2,51.74,-0.8
Pr_1972,2,50.57,-3.9
Pr_779,2,51.94576,0.44454
Pr_784,2,51.94576,0.44454
Pr_2059,2,57.841,27.464
Pr_1918,2,44.201,7.074
Pr_1920,2,43.516,3.668
Pr_1976,2,43.68245803,-0.999665
Pr_1977,2,46.29894898,-1.096663987
Pr_1978,2,46.432597,-1.026680963
Pr_1979,2,44.49607101,0.153514976
Pr_1980,2,46.365411,5.898327
Pr_2040,2,42.076,9.194
Pr_2060,2,43.596,5.167
Pr_2075,2,42.388,2.102
Pr_1155,2,36.126916,-5.349197
Pr_1936,2,40.961,26.066
Pr_1937,2,40.227,20.955
Pr_1938,2,41.14,26.244
Pr_1943,2,40.3201,21.6486
Pr_1382,2,46.654381,11.042914
Pr_1383,2,46.654381,11.042914
Pr_1384,2,46.654381,11.042914
Pr_1385,2,46.654381,11.042914
Pr_1386,2,46.654381,11.042914
Pr_1917,2,42.364,10.9
Pr_1924,2,42.458,11.421
Pr_1973,2,40.667098,16.613885
Pr_1981,2,43.4477,11.8043
Pr_1983,2,42.577,11.142
Pr_1989,2,44.931,10.366
Pr_2031,2,38.01,12.33
Pr_2041,2,39.188,9.146
